hg,pv,,,,,,,,,
D06868,D06359,,,,,,,,,
D04120,D02839,,,,,,,,,
D03932,D03474,,,,,,,,,
D05182,D01633,,,,,,,,,
D06523,VMSM931006,,,,,,,,,
D04728,D03515,,,,,,,,,
D03661,D03348,,,,,,,,,
D05491,D03943,,,,,,,,,
D06490,D06461,,,,,,,,,
D08424,D03259,,,,,,,,,
E35016L-10,D05834,,,,,,,,,
D05310,D05834,,,,,,,,,
D08003,D06698,,,,,,,,,
D03918,D05404,,,,,,,,,
H0-0095,D06041,,,,,,,,,
H0-0092,D09385,,,,,,,,,
D07431,D07877,,,,,,,,,
D08883,D08743,,,,,,,,,
H34021C_notag,D08070,,,,,,,,,
D08817,D05632,,,,,,,,,
D07252,D05180,,,,,,,,,
D08282,D08226,,,,,,,,,
D08131,D07820,,,,,,,,,
D07390,D07681,,,,,,,,,
D07818,D09500,,,,,,,,,
D00068,D0A1404,,,,,,,,,
D06113,D00820,,,,,,,,,
D08390,D0A0059,,,,,,,,,
D0A0623,D00192,,,,,,,,,
D0A0407,D0A1070,,,,,,,,,
D0A0624,D07104,,,,,,,,,
D0A0553,D0A0818,,,,,,,,,
D09315,D0A1423,,,,,,,,,
D0A0063,D0A1055,,,,,,,,,
D00826,D00703,,,,,,,,,
P88017L-1,D0A0807,,,,,,,,,
P90033C-1,D09730,,,,,,,,,
Q41004C-04,D0A0715,,,,,,,,,
D01545,D07458,,,,,,,,,
D0A1895,D0A1216,,,,,,,,,
D0A1212,D0A0755,,,,,,,,,
D09879,D09904,,,,,,,,,
D0A1030,D04234,,,,,,,,,
D00157,D01464,,,,,,,,,
D0A0954,Blue41,,,,,,,,,
D08644,D03008,,,,,,,,,
D0A1037,D00229,,,,,,,,,
D0A0997,D02089,,,,,,,,,
D0B0340,D04824,,,,,,,,,
D0A0335,D01255,,,,,,,,,
D0B0342,D05017,,,,,,,,,
D0B0341,D05016,,,,,,,,,
D0A1055,D05015,,,,,,,,,
D05406,D06984,,,,,,,,,
D04221,D05422,,,,,,,,,
D03271,D06942,,,,,,,,,
D05182,D05543,,,,,,,,,
